disasterNumber,declaredAreaCount,uniquePlaceCodeCount,declarationGeographyRowCount
4085,14,14,14
4086,21,21,21
4277,26,26,26
4332,53,53,53
4337,67,67,67
4340,3,3,3
4344,9,9,9
4353,4,4,4
4393,52,52,52
4399,18,18,18
4400,69,69,69
4404,4,4,4
4407,3,3,3
4480,64,64,64
4482,58,58,58
4484,71,71,71
4485,257,257,257
4486,70,70,70
4487,106,106,106
4488,23,23,23
4489,102,102,102
4490,115,115,115
4491,24,24,24
4492,47,47,47
4493,78,78,78
4494,94,94,94
4496,17,17,17
4497,120,120,120
4498,66,66,66
4499,47,47,47
4500,12,12,12
4501,160,160,160
4505,7,7,7
4506,67,67,67
4507,88,88,88
4510,5,5,5
4514,95,95,95
4515,93,93,93
4516,10,10,10
4517,55,55,55
4520,84,84,84
4523,44,44,44
4524,36,36,36
4528,83,83,83
4529,65,69,69
4559,64,64,64
4611,64,64,64
4652,7,7,7
4673,69,69,69
4715,1,1,1
4830,94,94,94
