state,incidentType,expectedResourceLevel,disasterCategory,durationClass,durationDays,declarationDelayDays,fyDeclared,ihProgramDeclared,paProgramDeclared,hmProgramDeclared,expectedResourceScore,missionAssignmentCount,uniqueAgencyCount,uniqueMaTypeCount,uniquePriorityCount,responseComplexityScore,missionDensity,agencyDensity,stage1_funded_prediction,ml_base_prediction,true_funding,totalObligatedFunding
AK,Severe Storm,Medium-High,Weather,Medium,5,73,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AL,Hurricane,Very High,Weather,Short,1,43,2010,False,True,True,5,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AL,Severe Storm,Medium-High,Weather,Medium,6,19,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AL,Severe Storm,Medium-High,Weather,Short,1,9,2010,True,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AR,Severe Storm,Medium-High,Weather,Medium,10,35,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AR,Severe Storm,Medium-High,Weather,Medium,10,43,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AZ,Severe Storm,Medium-High,Weather,Medium,4,59,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
CA,Severe Storm,Medium-High,Weather,Long,20,50,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
CA,Earthquake,Very High,Geological,Long,91,33,2010,False,True,True,5,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
CT,Severe Storm,Medium-High,Weather,Long,66,42,2010,True,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
DC,Snowstorm,Medium,Weather,Short,2,75,2010,False,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
DC,Severe Storm,Medium-High,Weather,Medium,6,47,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
DE,Snowstorm,Medium,Weather,Medium,6,54,2010,False,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
IA,Severe Storm,Medium-High,Weather,Medium,4,64,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
IA,Severe Storm,Medium-High,Weather,Medium,7,42,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
IA,Severe Storm,Medium-High,Weather,Short,1,76,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
IA,Severe Storm,Medium-High,Weather,Long,91,58,2010,True,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
ID,Severe Storm,Medium-High,Weather,Medium,8,55,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
IL,Severe Storm,Medium-High,Weather,Long,19,31,2010,True,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
KS,Severe Storm,Medium-High,Weather,Short,2,39,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
KS,Severe Storm,Medium-High,Weather,Long,17,77,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
KS,Severe Storm,Medium-High,Weather,Long,44,64,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
KY,Severe Storm,Medium-High,Weather,Long,31,10,2010,True,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
KY,Severe Storm,Medium-High,Weather,Long,13,6,2010,True,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
LA,Severe Storm,Medium-High,Weather,Medium,5,42,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
MA,Severe Storm,Medium-High,Weather,Long,45,17,2010,True,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
MD,Snowstorm,Medium,Weather,Short,2,63,2010,False,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
MD,Snowstorm,Medium,Weather,Medium,6,90,2010,False,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
ME,Severe Storm,Medium-High,Weather,Medium,7,30,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
ME,Severe Storm,Medium-High,Weather,Long,20,111,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
MN,Flood,High,Weather,Long,56,49,2010,False,True,True,4,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
MN,Tornado,Medium-High,Weather,Medium,9,15,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
MO,Severe Storm,Medium-High,Weather,Long,49,66,2010,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
MS,Severe Storm,Medium-High,Weather,Short,1,6,2010,True,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
MS,Severe Storm,Medium-High,Weather,Short,1,13,2010,True,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
